popSize;mixinFactor;cp;mp;maxGen;natSel;iteration;eval;optimum;duration;bestPhenotype
10;0.25;0.6;0.3;100;roulette;3;237.5632512051867;0;0.608 seconds;{"eval":237.5632512051867}
10;0.0;0.8;0.2;25;roulette;3;230.44800842267935;0;0.179 seconds;{"eval":230.44800842267935}
10;0.0;0.6;0.3;100;roulette;2;244.4960130800284;0;0.431 seconds;{"eval":244.4960130800284}
100;0.0;0.6;0.3;100;roulette;4;265.749621193459;0;21.152 seconds;{"eval":265.749621193459}
100;0.0;0.8;0.3;100;roulette;2;304.48454355913213;0;32.716 seconds;{"eval":304.48454355913213}
10;0.0;0.7;0.2;100;roulette;2;233.92760696545497;0;0.479 seconds;{"eval":233.92760696545497}
10;0.1;0.6;0.3;100;roulette;4;247.7704460524137;0;0.149 seconds;{"eval":247.7704460524137}
10;0.1;0.6;0.1;25;roulette;2;267.2243924694918;0;0.231 seconds;{"eval":267.2243924694918}
10;0.0;0.8;0.2;100;roulette;2;279.0835693189913;0;0.552 seconds;{"eval":279.0835693189913}
10;0.0;0.6;0.3;100;ts2;4;282.4598717114913;0;0.080 seconds;{"eval":282.4598717114913}
100;0.0;0.8;0.3;100;roulette;0;257.9630642810474;0;38.113 seconds;{"eval":257.9630642810474}
10;0.0;0.7;0.1;100;roulette;2;294.46076542923504;0;0.652 seconds;{"eval":294.46076542923504}
10;0.0;0.8;0.2;25;roulette;0;228.80695212058444;0;0.342 seconds;{"eval":228.80695212058444}
10;0.0;0.7;0.2;25;roulette;4;222.70201989792344;0;0.154 seconds;{"eval":222.70201989792344}
50;0.0;0.6;0.3;100;roulette;3;257.3026351576193;0;9.802 seconds;{"eval":257.3026351576193}
10;0.0;0.8;0.3;50;roulette;4;274.6252707112459;0;0.152 seconds;{"eval":274.6252707112459}
10;0.0;0.6;0.3;100;ts2;3;335.6667114833572;0;0.174 seconds;{"eval":335.6667114833572}
10;0.0;0.7;0.1;25;roulette;1;234.619393391401;0;0.223 seconds;{"eval":234.619393391401}
10;0.0;0.6;0.3;50;roulette;4;222.9720480629055;0;0.223 seconds;{"eval":222.9720480629055}
10;0.25;0.8;0.3;100;roulette;4;241.03783663791654;0;0.381 seconds;{"eval":241.03783663791654}
10;0.0;0.6;0.3;100;ts2;0;296.98954131226924;0;0.244 seconds;{"eval":296.98954131226924}
10;0.0;0.7;0.1;25;roulette;2;212.7659991803655;0;0.169 seconds;{"eval":212.7659991803655}
10;0.0;0.7;0.2;25;roulette;2;239.27726929582747;0;0.160 seconds;{"eval":239.27726929582747}
10;0.0;0.8;0.2;100;roulette;3;236.09528953716762;0;0.548 seconds;{"eval":236.09528953716762}
10;0.0;0.8;0.3;100;roulette;1;299.44195199960984;0;0.370 seconds;{"eval":299.44195199960984}
10;0.25;0.6;0.1;25;roulette;3;247.00494594604143;0;0.124 seconds;{"eval":247.00494594604143}
10;0.5;0.6;0.3;100;roulette;3;270.5854034717971;0;0.386 seconds;{"eval":270.5854034717971}
10;0.1;0.6;0.1;25;roulette;1;216.49363935894684;0;0.286 seconds;{"eval":216.49363935894684}
10;0.0;0.8;0.2;25;roulette;2;267.57849268795644;0;0.237 seconds;{"eval":267.57849268795644}
100;0.0;0.8;0.3;100;roulette;3;288.2562726349345;0;33.343 seconds;{"eval":288.2562726349345}
100;0.0;0.6;0.3;100;roulette;1;257.5162233044646;0;30.782 seconds;{"eval":257.5162233044646}
10;0.5;0.8;0.3;100;roulette;3;274.3891740217508;0;0.832 seconds;{"eval":274.3891740217508}
10;0.0;0.8;0.3;100;ts3;1;493.5578530547224;0;0.144 seconds;{"eval":493.5578530547224}
10;0.0;0.8;0.2;100;roulette;0;238.44057555083725;0;0.848 seconds;{"eval":238.44057555083725}
10;0.0;0.8;0.3;50;roulette;1;260.1076045476473;0;0.149 seconds;{"eval":260.1076045476473}
20;0.0;0.6;0.3;100;roulette;2;267.3543966177567;0;1.904 seconds;{"eval":267.3543966177567}
10;0.0;0.7;0.1;100;roulette;0;253.59828145001262;0;0.782 seconds;{"eval":253.59828145001262}
10;0.25;0.6;0.3;100;roulette;4;218.2516975120796;0;0.445 seconds;{"eval":218.2516975120796}
10;0.0;0.8;0.3;25;roulette;0;237.75700364289432;0;0.352 seconds;{"eval":237.75700364289432}
10;0.0;0.7;0.2;100;roulette;4;236.0795530447432;0;0.504 seconds;{"eval":236.0795530447432}
10;0.0;0.8;0.3;25;roulette;3;236.42875487639475;0;0.170 seconds;{"eval":236.42875487639475}
10;0.5;0.8;0.3;100;roulette;1;237.05420506477395;0;0.635 seconds;{"eval":237.05420506477395}
10;0.0;0.6;0.2;100;roulette;3;212.3328631425938;0;0.537 seconds;{"eval":212.3328631425938}
10;0.0;0.6;0.3;100;roulette;4;282.42048273075244;0;0.505 seconds;{"eval":282.42048273075244}
50;0.0;0.8;0.3;100;roulette;3;270.64945097254736;0;10.511 seconds;{"eval":270.64945097254736}
10;0.0;0.6;0.2;25;roulette;3;224.57110726723454;0;0.138 seconds;{"eval":224.57110726723454}
10;0.25;0.8;0.3;100;roulette;3;250.8623625211347;0;0.385 seconds;{"eval":250.8623625211347}
10;0.0;0.6;0.3;25;roulette;3;249.4468624722062;0;0.155 seconds;{"eval":249.4468624722062}
10;0.5;0.6;0.3;100;roulette;1;317.10654826300066;0;0.628 seconds;{"eval":317.10654826300066}
10;0.1;0.6;0.3;100;roulette;3;265.6516227917891;0;0.407 seconds;{"eval":265.6516227917891}
10;0.0;0.8;0.3;100;ts2;0;294.98651811086626;0;0.163 seconds;{"eval":294.98651811086626}
10;0.0;0.6;0.3;100;ts3;3;254.9814418001256;0;0.243 seconds;{"eval":254.9814418001256}
10;0.25;0.6;0.3;100;roulette;2;251.6613084955037;0;0.609 seconds;{"eval":251.6613084955037}
10;0.5;0.6;0.3;100;roulette;4;298.2823689827772;0;0.175 seconds;{"eval":298.2823689827772}
10;0.0;0.6;0.3;100;ts3;0;278.67179624230107;0;0.248 seconds;{"eval":278.67179624230107}
10;0.0;0.6;0.3;100;ts3;2;297.7094571639001;0;0.242 seconds;{"eval":297.7094571639001}
10;0.0;0.6;0.3;25;roulette;2;222.4663421494815;0;0.241 seconds;{"eval":222.4663421494815}
10;0.0;0.7;0.3;25;roulette;3;245.5882897289701;0;0.198 seconds;{"eval":245.5882897289701}
10;0.0;0.8;0.3;50;roulette;2;213.7671045354818;0;0.148 seconds;{"eval":213.7671045354818}
10;0.0;0.6;0.3;25;roulette;1;209.21870098785195;0;0.235 seconds;{"eval":209.21870098785195}
10;0.0;0.8;0.1;100;roulette;0;229.86345940598352;0;0.828 seconds;{"eval":229.86345940598352}
10;0.5;0.6;0.3;100;roulette;2;253.50763693472297;0;0.598 seconds;{"eval":253.50763693472297}
100;0.0;0.8;0.3;100;roulette;1;289.2996227523698;0;33.802 seconds;{"eval":289.2996227523698}
10;0.1;0.8;0.3;100;roulette;0;297.71036209108127;0;1.040 seconds;{"eval":297.71036209108127}
50;0.0;0.8;0.3;100;roulette;1;267.86454689276593;0;11.111 seconds;{"eval":267.86454689276593}
10;0.5;0.8;0.3;100;roulette;4;254.0392811948066;0;0.732 seconds;{"eval":254.0392811948066}
10;0.0;0.6;0.2;25;roulette;2;246.56570638537661;0;0.255 seconds;{"eval":246.56570638537661}
10;0.0;0.8;0.1;100;roulette;4;250.81415892555566;0;0.394 seconds;{"eval":250.81415892555566}
10;0.1;0.6;0.1;25;roulette;4;234.3928585731611;0;0.072 seconds;{"eval":234.3928585731611}
10;0.0;0.8;0.2;100;roulette;4;218.38382668664542;0;0.340 seconds;{"eval":218.38382668664542}
10;0.5;0.6;0.1;25;roulette;1;291.6911576029777;0;0.183 seconds;{"eval":291.6911576029777}
10;0.5;0.6;0.1;25;roulette;0;245.36917000457387;0;0.277 seconds;{"eval":245.36917000457387}
10;0.0;0.7;0.3;100;roulette;0;271.9526534516722;0;0.758 seconds;{"eval":271.9526534516722}
20;0.0;0.6;0.3;100;roulette;0;270.66357165827014;0;2.898 seconds;{"eval":270.66357165827014}
50;0.0;0.6;0.3;100;roulette;0;253.04804371400976;0;17.779 seconds;{"eval":253.04804371400976}
10;0.0;0.6;0.2;100;roulette;2;246.7851095792937;0;0.588 seconds;{"eval":246.7851095792937}
10;0.0;0.7;0.3;100;roulette;3;247.0607549970248;0;0.565 seconds;{"eval":247.0607549970248}
100;0.0;0.6;0.3;100;roulette;0;252.99226958205;0;38.416 seconds;{"eval":252.99226958205}
10;0.0;0.8;0.3;100;ts2;1;314.7728840613387;0;0.154 seconds;{"eval":314.7728840613387}
10;0.0;0.8;0.3;25;roulette;1;215.8113351955834;0;0.250 seconds;{"eval":215.8113351955834}
10;0.0;0.8;0.1;100;roulette;3;277.34053748378875;0;0.578 seconds;{"eval":277.34053748378875}
10;0.0;0.7;0.2;25;roulette;0;234.4310392907391;0;0.313 seconds;{"eval":234.4310392907391}
10;0.5;0.8;0.3;100;roulette;0;226.63448177402557;0;1.051 seconds;{"eval":226.63448177402557}
20;0.0;0.8;0.3;100;roulette;1;233.26388262456848;0;3.396 seconds;{"eval":233.26388262456848}
50;0.0;0.6;0.3;100;roulette;1;277.0259864141428;0;9.544 seconds;{"eval":277.0259864141428}
10;0.0;0.7;0.1;100;roulette;1;291.91213397400657;0;0.729 seconds;{"eval":291.91213397400657}
10;0.0;0.7;0.2;25;roulette;3;240.5114989868546;0;0.131 seconds;{"eval":240.5114989868546}
10;0.0;0.6;0.2;100;roulette;0;268.08592729231805;0;0.688 seconds;{"eval":268.08592729231805}
50;0.0;0.6;0.3;100;roulette;4;287.31397803925086;0;9.643 seconds;{"eval":287.31397803925086}
20;0.0;0.6;0.3;100;roulette;3;246.12457056797237;0;1.626 seconds;{"eval":246.12457056797237}
10;0.0;0.7;0.3;25;roulette;1;212.558454686441;0;0.234 seconds;{"eval":212.558454686441}
10;0.0;0.7;0.1;25;roulette;3;250.51040229312812;0;0.202 seconds;{"eval":250.51040229312812}
10;0.0;0.8;0.3;100;roulette;0;208.89364035232586;0;0.606 seconds;{"eval":208.89364035232586}
10;0.0;0.8;0.2;100;roulette;1;236.95465916439994;0;0.745 seconds;{"eval":236.95465916439994}
10;0.0;0.7;0.3;100;roulette;4;261.2821555842606;0;0.402 seconds;{"eval":261.2821555842606}
20;0.0;0.6;0.3;100;roulette;4;245.18990902120925;0;1.718 seconds;{"eval":245.18990902120925}
10;0.1;0.6;0.3;100;roulette;1;226.6074684775076;0;0.366 seconds;{"eval":226.6074684775076}
10;0.0;0.7;0.3;100;roulette;2;224.57928543709482;0;0.544 seconds;{"eval":224.57928543709482}
10;0.0;0.8;0.1;25;roulette;4;224.9475277698643;0;0.124 seconds;{"eval":224.9475277698643}
10;0.0;0.7;0.1;25;roulette;0;215.47812447756428;0;0.296 seconds;{"eval":215.47812447756428}
10;0.25;0.8;0.3;100;roulette;1;283.37994317523317;0;0.478 seconds;{"eval":283.37994317523317}
50;0.0;0.6;0.3;100;roulette;2;282.2166775610272;0;9.939 seconds;{"eval":282.2166775610272}
