popSize;mixinFactor;cp;mp;maxGen;natSel;iteration;eval;optimum;duration;bestPhenotype
5;0.0;0.6;0.25;100;roulette;1;5086.747770158674;564;35.565 seconds;{"eval":5086.747770158674}
5;0.0;0.65;0.35;110;roulette;1;5199.136114525063;564;26.997 seconds;{"eval":5199.136114525063}
5;0.0;0.65;0.28;100;roulette;0;4968.859081769326;564;36.034 seconds;{"eval":4968.859081769326}
5;0.0;0.65;0.28;100;roulette;1;4842.145281682802;564;41.818 seconds;{"eval":4842.145281682802}
5;0.05;0.65;0.35;100;roulette;0;4934.270164822844;564;20.678 seconds;{"eval":4934.270164822844}
5;0.0;0.55;0.35;100;roulette;1;4942.2861722185135;564;29.686 seconds;{"eval":4942.2861722185135}
5;0.0;0.62;0.32;100;roulette;2;5117.74238228523;564;34.717 seconds;{"eval":5117.74238228523}
5;0.0;0.62;0.25;100;roulette;2;4920.223590363627;564;13.071 seconds;{"eval":4920.223590363627}
5;0.0;0.6;0.28;100;roulette;1;4904.580061800741;564;33.193 seconds;{"eval":4904.580061800741}
5;0.0;0.62;0.25;100;roulette;0;4992.724877070354;564;32.157 seconds;{"eval":4992.724877070354}
5;0.1;0.6;0.3;100;roulette;1;4892.054063901418;564;18.759 seconds;{"eval":4892.054063901418}
5;0.0;0.58;0.28;100;roulette;2;5036.494826197915;564;33.498 seconds;{"eval":5036.494826197915}
5;0.0;0.65;0.35;90;roulette;1;5139.496452557415;564;21.885 seconds;{"eval":5139.496452557415}
5;0.0;0.65;0.3;100;roulette;0;5028.757473358026;564;38.772 seconds;{"eval":5028.757473358026}
5;0.05;0.6;0.3;100;roulette;1;5068.229336726003;564;18.672 seconds;{"eval":5068.229336726003}
5;0.0;0.58;0.25;100;roulette;2;4943.666969070509;564;29.416 seconds;{"eval":4943.666969070509}
5;0.0;0.58;0.3;100;roulette;0;5096.032780245033;564;28.243 seconds;{"eval":5096.032780245033}
5;0.0;0.65;0.25;100;roulette;2;4756.538550637338;564;33.963 seconds;{"eval":4756.538550637338}
5;0.0;0.65;0.35;95;roulette;2;4917.613243609928;564;17.199 seconds;{"eval":4917.613243609928}
5;0.05;0.6;0.3;100;roulette;2;5033.1051760346545;564;18.256 seconds;{"eval":5033.1051760346545}
20;0.0;0.65;0.35;100;roulette;2;5009.450207312259;564;4 minutes, 8.051 seconds;{"eval":5009.450207312259}
5;0.0;0.65;0.3;100;roulette;2;5042.470892572887;564;4.644 seconds;{"eval":5042.470892572887}
20;0.0;0.65;0.35;100;roulette;1;5170.219923024428;564;4 minutes, 11.462 seconds;{"eval":5170.219923024428}
5;0.1;0.6;0.3;100;roulette;0;4945.64647199706;564;20.083 seconds;{"eval":4945.64647199706}
5;0.0;0.6;0.28;100;roulette;0;4797.645353797424;564;30.289 seconds;{"eval":4797.645353797424}
5;0.0;0.62;0.28;100;roulette;1;4808.695101307773;564;34.464 seconds;{"eval":4808.695101307773}
15;0.0;0.6;0.3;100;roulette;2;5094.227578184083;564;1 minutes, 5.135 seconds;{"eval":5094.227578184083}
5;0.0;0.58;0.32;100;roulette;0;4742.190559241286;564;30.704 seconds;{"eval":4742.190559241286}
5;0.0;0.62;0.35;100;roulette;2;4758.290797630515;564;33.891 seconds;{"eval":4758.290797630515}
5;0.0;0.6;0.32;100;roulette;0;4834.927143499404;564;32.445 seconds;{"eval":4834.927143499404}
5;0.05;0.65;0.35;100;roulette;1;5058.825434367429;564;18.533 seconds;{"eval":5058.825434367429}
5;0.0;0.62;0.35;100;roulette;1;4849.245068412102;564;33.173 seconds;{"eval":4849.245068412102}
5;0.05;0.65;0.35;100;roulette;2;4930.898706903314;564;18.981 seconds;{"eval":4930.898706903314}
5;0.0;0.58;0.3;100;roulette;2;4796.705656817493;564;31.073 seconds;{"eval":4796.705656817493}
5;0.0;0.65;0.35;90;roulette;2;4980.844631415209;564;16.521 seconds;{"eval":4980.844631415209}
5;0.0;0.55;0.3;100;roulette;1;5120.023731414723;564;33.769 seconds;{"eval":5120.023731414723}
5;0.0;0.55;0.28;100;roulette;2;4803.095100450134;564;16.060 seconds;{"eval":4803.095100450134}
15;0.0;0.65;0.35;100;roulette;0;5100.35506077884;564;4 minutes, 3.833 seconds;{"eval":5100.35506077884}
5;0.0;0.6;0.25;100;roulette;0;5012.973811754057;564;32.638 seconds;{"eval":5012.973811754057}
5;0.0;0.58;0.32;100;roulette;2;4758.664585325693;564;26.352 seconds;{"eval":4758.664585325693}
15;0.0;0.6;0.3;100;roulette;0;5154.490483611711;564;1 minutes, 16.365 seconds;{"eval":5154.490483611711}
5;0.05;0.6;0.3;100;roulette;0;4987.083897622895;564;19.974 seconds;{"eval":4987.083897622895}
5;0.0;0.65;0.32;100;roulette;0;5173.58878382086;564;30.781 seconds;{"eval":5173.58878382086}
10;0.0;0.65;0.35;100;roulette;0;4982.628504291463;564;2 minutes, 38.027 seconds;{"eval":4982.628504291463}
5;0.0;0.58;0.25;100;roulette;1;4868.36724240817;564;20.585 seconds;{"eval":4868.36724240817}
5;0.0;0.62;0.3;100;roulette;0;5229.924604127883;564;30.874 seconds;{"eval":5229.924604127883}
5;0.0;0.58;0.28;100;roulette;0;4950.490356742315;564;32.555 seconds;{"eval":4950.490356742315}
5;0.0;0.65;0.35;105;roulette;0;4855.064822490876;564;34.084 seconds;{"eval":4855.064822490876}
5;0.0;0.62;0.28;100;roulette;2;5042.248949165947;564;34.223 seconds;{"eval":5042.248949165947}
15;0.0;0.6;0.3;100;roulette;1;4913.200531078713;564;1 minutes, 8.507 seconds;{"eval":4913.200531078713}
5;0.0;0.62;0.25;100;roulette;1;5006.134657326095;564;23.658 seconds;{"eval":5006.134657326095}
5;0.0;0.62;0.3;100;roulette;1;4750.133196183505;564;33.371 seconds;{"eval":4750.133196183505}
5;0.0;0.55;0.28;100;roulette;1;4859.018748560763;564;18.964 seconds;{"eval":4859.018748560763}
5;0.0;0.6;0.32;100;roulette;1;5160.244894909443;564;34.683 seconds;{"eval":5160.244894909443}
5;0.0;0.65;0.35;105;roulette;2;4762.296552041007;564;13.915 seconds;{"eval":4762.296552041007}
5;0.0;0.65;0.25;100;roulette;1;5082.699540236107;564;30.982 seconds;{"eval":5082.699540236107}
5;0.0;0.65;0.32;100;roulette;2;4941.374157218026;564;34.921 seconds;{"eval":4941.374157218026}
5;0.0;0.62;0.3;100;roulette;2;4881.779367561373;564;34.709 seconds;{"eval":4881.779367561373}
5;0.0;0.6;0.3;100;roulette;0;4893.850590241294;564;22.703 seconds;{"eval":4893.850590241294}
5;0.0;0.55;0.3;100;roulette;0;4821.4465859027005;564;29.873 seconds;{"eval":4821.4465859027005}
5;0.1;0.65;0.35;100;roulette;2;5044.5614803166845;564;18.006 seconds;{"eval":5044.5614803166845}
