popSize;mixinFactor;cp;mp;maxGen;natSel;iteration;eval;optimum;duration;bestPhenotype
10;0.1;0.7;0.3;25;roulette;2;-1474.0;-1173.0;41.317 seconds;{"price":2184,"size":98,"maxSize":27}
10;0.1;0.6;0.2;25;roulette;0;-961.0;-1173.0;51.718 seconds;{"price":1021,"size":33,"maxSize":27}
50;0.0;0.6;0.1;25;roulette;1;-699.0;-1173.0;8 minutes, 42.946 seconds;{"price":729,"size":20,"maxSize":27}
100;0.1;0.6;0.1;25;roulette;0;-523.0;-1173.0;25 minutes, 19.685 seconds;{"price":623,"size":37,"maxSize":27}
10;0.1;0.6;0.3;25;roulette;2;-1029.0;-1173.0;55.350 seconds;{"price":1389,"size":63,"maxSize":27}
10;0.25;0.6;0.1;25;roulette;3;-1088.0;-1173.0;36.533 seconds;{"price":1328,"size":51,"maxSize":27}
10;0.1;0.6;0.1;25;roulette;1;-954.0;-1173.0;20.221 seconds;{"price":1114,"size":43,"maxSize":27}
10;0.0;0.6;0.1;25;roulette;0;-1262.0;-1173.0;41.574 seconds;{"price":1362,"size":37,"maxSize":27}
10;0.1;0.8;0.2;25;roulette;4;-1263.0;-1173.0;28.723 seconds;{"price":1743,"size":75,"maxSize":27}
10;0.1;0.6;0.3;25;roulette;4;-1142.0;-1173.0;28.015 seconds;{"price":1322,"size":45,"maxSize":27}
100;0.0;0.6;0.1;25;roulette;4;-223.0;-1173.0;24 minutes, 8.615 seconds;{"price":303,"size":11,"maxSize":27}
20;0.0;0.6;0.1;25;roulette;3;-876.0;-1173.0;1 minutes, 52.417 seconds;{"price":1056,"size":45,"maxSize":27}
50;0.0;0.6;0.1;25;roulette;3;-644.0;-1173.0;10 minutes, 1.753 seconds;{"price":654,"size":24,"maxSize":27}
10;0.1;0.8;0.3;25;roulette;4;-1609.0;-1173.0;26.622 seconds;{"price":2019,"size":68,"maxSize":27}
10;0.1;0.6;0.1;100;roulette;0;-1089.0;-1173.0;1 minutes, 48.289 seconds;{"price":1439,"size":62,"maxSize":27}
100;0.0;0.6;0.1;25;roulette;3;-653.0;-1173.0;24 minutes, 22.655 seconds;{"price":663,"size":28,"maxSize":27}
10;0.1;0.6;0.3;25;roulette;0;-1250.0;-1173.0;1 minutes, 10.095 seconds;{"price":1660,"size":68,"maxSize":27}
