popSize;mixinFactor;cp;mp;maxGen;natSel;iteration;eval;optimum;duration
5;0.05;0.82;0.3;100;roulette;2;253.2434284757765;0;0.182 seconds
5;0.05;0.82;0.35;100;roulette;0;199.87904820794967;0;0.192 seconds
5;0.05;0.85;0.35;100;roulette;1;231.64168633573706;0;0.158 seconds
5;0.05;0.75;0.35;100;roulette;2;244.28022036579938;0;0.118 seconds
5;0.0;0.85;0.28;100;roulette;0;243.41815895472556;0;0.227 seconds
5;0.1;0.82;0.25;100;roulette;1;224.26306445084026;0;0.117 seconds
5;0.05;0.75;0.3;100;roulette;2;225.17747633321267;0;0.218 seconds
20;0.0;0.82;0.25;100;roulette;0;249.47972173410687;0;1.629 seconds
5;0.05;0.82;0.28;100;roulette;2;222.75418513626653;0;0.083 seconds
5;0.05;0.75;0.25;100;roulette;1;219.80649082807355;0;0.216 seconds
5;0.0;0.78;0.25;100;roulette;1;216.59093356957766;0;0.146 seconds
5;0.05;0.75;0.35;110;roulette;1;207.3658622088402;0;0.172 seconds
5;0.0;0.85;0.3;100;roulette;0;237.11190919336443;0;0.166 seconds
5;0.05;0.8;0.3;100;roulette;2;230.6999926070199;0;0.177 seconds
5;0.0;0.75;0.28;100;roulette;1;242.61404323313556;0;0.239 seconds
5;0.05;0.85;0.3;100;roulette;2;199.94700640101033;0;0.222 seconds
5;0.0;0.82;0.28;100;roulette;0;240.9555285303143;0;0.167 seconds
5;0.0;0.8;0.35;100;roulette;2;202.381726131966;0;0.109 seconds
5;0.05;0.78;0.28;100;roulette;2;214.79653213072422;0;0.300 seconds
5;0.05;0.78;0.35;100;roulette;2;253.78432505393965;0;0.285 seconds
5;0.0;0.8;0.32;100;roulette;1;221.9327970261312;0;0.235 seconds
5;0.05;0.85;0.28;100;roulette;0;267.24545799314603;0;0.303 seconds
5;0.05;0.82;0.35;100;roulette;1;228.18282046139612;0;0.217 seconds
5;0.05;0.82;0.3;100;roulette;1;244.5007551233522;0;0.206 seconds
5;0.0;0.85;0.28;100;roulette;2;267.0658981955936;0;0.142 seconds
5;0.05;0.75;0.35;90;roulette;2;219.95108993375322;0;0.146 seconds
5;0.05;0.78;0.35;100;roulette;1;231.01808579147206;0;0.235 seconds
5;0.0;0.75;0.25;100;roulette;0;252.07868922771272;0;0.284 seconds
5;0.05;0.82;0.28;100;roulette;0;210.4994747411873;0;0.143 seconds
5;0.05;0.75;0.35;90;roulette;1;242.7229491065748;0;0.143 seconds
5;0.05;0.78;0.25;100;roulette;1;255.72135357048467;0;0.212 seconds
5;0.05;0.75;0.35;100;roulette;1;253.82865136618867;0;0.182 seconds
5;0.05;0.75;0.28;100;roulette;2;246.44419827724198;0;0.151 seconds
5;0.05;0.78;0.28;100;roulette;1;245.64563890499628;0;0.226 seconds
5;0.0;0.78;0.35;100;roulette;2;215.76599615967297;0;0.180 seconds
5;0.0;0.78;0.32;100;roulette;2;200.0;0;0.155 seconds
5;0.1;0.82;0.25;100;roulette;2;216.78731484291984;0;0.127 seconds
15;0.0;0.8;0.3;100;roulette;0;230.2151336853064;0;0.710 seconds
5;0.0;0.78;0.35;100;roulette;1;214.89638690532774;0;0.213 seconds
5;0.05;0.8;0.35;100;roulette;2;208.75200999883413;0;0.299 seconds
5;0.05;0.85;0.35;100;roulette;2;274.7352188499357;0;0.106 seconds
5;0.0;0.82;0.35;100;roulette;1;250.72750109421338;0;0.217 seconds
5;0.0;0.82;0.25;90;roulette;2;200.0;0;0.113 seconds
5;0.05;0.82;0.28;100;roulette;1;204.90644790228393;0;0.108 seconds
5;0.05;0.78;0.32;100;roulette;2;259.97160403037117;0;0.154 seconds
5;0.05;0.75;0.32;100;roulette;1;246.05000400560306;0;0.224 seconds
5;0.0;0.8;0.25;100;roulette;1;206.81134609468089;0;0.227 seconds
5;0.0;0.82;0.3;100;roulette;0;215.50274856363163;0;0.165 seconds
15;0.0;0.82;0.25;100;roulette;1;250.54150248279876;0;1.179 seconds
5;0.05;0.85;0.35;100;roulette;0;234.37396923951417;0;0.200 seconds
5;0.05;0.85;0.28;100;roulette;1;220.958666946766;0;0.207 seconds
5;0.0;0.82;0.25;105;roulette;2;200.0;0;0.102 seconds
5;0.0;0.82;0.25;100;roulette;0;199.99999999700503;0;0.180 seconds
5;0.05;0.75;0.35;95;roulette;0;199.94465585974407;0;0.180 seconds
5;0.0;0.85;0.25;100;roulette;1;248.55607677518597;0;0.117 seconds
5;0.0;0.82;0.28;100;roulette;2;247.72765597003237;0;0.226 seconds
5;0.0;0.85;0.3;100;roulette;1;212.49092652076115;0;0.124 seconds
5;0.0;0.75;0.25;100;roulette;2;200.0;0;0.183 seconds
5;0.0;0.85;0.25;100;roulette;0;210.70181096285464;0;0.130 seconds
5;0.0;0.85;0.32;100;roulette;1;219.08579462402128;0;0.211 seconds
5;0.05;0.8;0.32;100;roulette;2;251.980265817212;0;0.185 seconds
5;0.05;0.75;0.25;100;roulette;0;241.60392909020266;0;0.252 seconds
5;0.0;0.82;0.35;100;roulette;2;212.95738269203503;0;0.172 seconds
5;0.05;0.8;0.28;100;roulette;2;205.8440357605567;0;0.268 seconds
5;0.1;0.8;0.3;100;roulette;1;264.8165043925384;0;0.177 seconds
5;0.05;0.75;0.32;100;roulette;0;239.62313932850918;0;0.189 seconds
5;0.05;0.8;0.35;100;roulette;0;249.20320913237111;0;0.261 seconds
5;0.0;0.75;0.32;100;roulette;2;231.84828836138627;0;0.151 seconds
15;0.0;0.82;0.25;100;roulette;2;265.16805518289726;0;1.095 seconds
5;0.0;0.75;0.35;100;roulette;1;230.7286588726456;0;0.198 seconds
5;0.05;0.75;0.28;100;roulette;1;258.2967990542213;0;0.146 seconds
5;0.0;0.75;0.3;100;roulette;1;200.0;0;0.228 seconds
5;0.05;0.8;0.25;100;roulette;1;242.9842473677864;0;0.230 seconds
5;0.0;0.8;0.32;100;roulette;0;205.8907819021488;0;0.272 seconds
5;0.0;0.78;0.3;100;roulette;2;228.94599849033798;0;0.199 seconds
5;0.0;0.82;0.3;100;roulette;1;206.1274492377149;0;0.209 seconds
5;0.05;0.82;0.32;100;roulette;1;232.98272844391295;0;0.255 seconds
5;0.05;0.78;0.32;100;roulette;0;199.95181666896144;0;0.192 seconds
5;0.0;0.82;0.28;100;roulette;1;216.29270087415148;0;0.211 seconds
5;0.0;0.75;0.28;100;roulette;2;242.26834866478185;0;0.186 seconds
5;0.0;0.82;0.25;105;roulette;1;225.49490314108178;0;0.116 seconds
5;0.0;0.82;0.25;95;roulette;1;304.59600339912026;0;0.183 seconds
5;0.0;0.85;0.35;100;roulette;2;230.97319486201846;0;0.156 seconds
5;0.05;0.75;0.3;100;roulette;1;224.91569576513137;0;0.211 seconds
5;0.05;0.8;0.35;100;roulette;1;240.48709790936093;0;0.237 seconds
5;0.05;0.85;0.32;100;roulette;2;229.48420652798052;0;0.194 seconds
5;0.0;0.8;0.25;100;roulette;2;222.9975220451877;0;0.183 seconds
5;0.05;0.85;0.3;100;roulette;0;203.63255071168862;0;0.200 seconds
5;0.0;0.75;0.32;100;roulette;0;234.2230997709076;0;0.198 seconds
5;0.0;0.78;0.32;100;roulette;1;232.7667077805005;0;0.147 seconds
5;0.0;0.8;0.25;100;roulette;0;244.37523872930547;0;0.260 seconds
5;0.05;0.85;0.3;100;roulette;1;233.19000978675422;0;0.226 seconds
10;0.0;0.82;0.25;100;roulette;0;234.7736876222805;0;1.025 seconds
5;0.0;0.78;0.3;100;roulette;0;217.91873925109024;0;0.141 seconds
5;0.05;0.82;0.3;100;roulette;0;229.4923949952679;0;0.224 seconds
5;0.0;0.82;0.25;90;roulette;1;200.0;0;0.200 seconds
5;0.0;0.8;0.28;100;roulette;1;200.78449348561787;0;0.281 seconds
20;0.0;0.82;0.25;100;roulette;2;259.831941868565;0;1.482 seconds
5;0.0;0.82;0.25;95;roulette;0;275.4408055575324;0;0.271 seconds
5;0.0;0.82;0.25;100;roulette;2;225.94067510359687;0;0.125 seconds
5;0.0;0.78;0.3;100;roulette;1;253.1298113773173;0;0.188 seconds
5;0.0;0.8;0.32;100;roulette;2;261.76553883176496;0;0.186 seconds
